[20:16:27] [INFO] Loaded script server_scripts:tfctextile/recipes.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfc_grooming_station/recipes.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfc_scraping/recipes.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfc_scraping/tags.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/aquaponics/data.aquaponics.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/aquaponics/recipes.pisciculture.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/aquaponics/tags.aquaponics.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/beneath/recipes.beneath.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/beneath/tags.beneath.js in 0.004 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/data.js in 0.011 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/equipment/data.equipment.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/equipment/events.equipment.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/equipment/recipes.equipment.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/equipment/recipes.repair.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/equipment/tags.equipment.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/europa/tags.europa.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/events.interactions.js in 0.004 s
[20:16:27] [INFO] tfg/events.js#67: Loaded Java class 'su.terrafirmagreg.core.config.TFGConfig'
[20:16:27] [INFO] Loaded script server_scripts:tfg/events.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/data.crops.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/data.food.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/data.planters.js in 0.004 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.biomass.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.alcohols.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.baking_and_desserts.js in 0.022 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.basic_processing.js in 0.005 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.dairy.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.latin_american.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.meal_bags.js in 0.007 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.misc_meals.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.pizza_and_pasta.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.preservation.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.sandwiches.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.food.soups_and_sauces.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/recipes.refrigerators.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/food/tags.food.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/hv_rework/material.recipes.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/json_tool.armor_trim.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/loot.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.bakelite.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.boules.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.budding.js in 0.0 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.casings.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.circuits.js in 0.003 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.circuit_board.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.coils.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.components.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.ender_pearls.js in 0.002 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.etching.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.kinetic.js in 0.001 s
[20:16:27] [INFO] Loaded script server_scripts:tfg/machines/recipes.molds.js in 0.003 s
